City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,79.0,few clouds,-23.1203,-134.9692,People ThankYou
6,Mareeba,AU,83.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
8,Kapaa,US,79.2,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
11,Port-Gentil,GA,79.72,scattered clouds,-0.7193,8.7815,Fengshui Residence
16,Barao De Melgaco,BR,77.52,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
19,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
22,Hobart,AU,78.03,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Lazaro Cardenas,MX,76.23,few clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
28,Sarramea,NC,77.92,moderate rain,-21.6421,165.8452,Hotel Evasion
29,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
31,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
37,Vanimo,PG,83.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
39,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
49,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Mogadishu,SO,76.03,broken clouds,2.0371,45.3438,Hotel Juba
53,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
54,Kalmunai,LK,75.16,scattered clouds,7.4167,81.8167,VS Villa
59,Saint-Leu,RE,77.86,broken clouds,-21.15,55.2833,La Caz Oceane
64,Kavaratti,IN,77.52,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Sri Aman,MY,77.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
68,Port Lincoln,AU,79.43,clear sky,-34.7333,135.8667,Port Lincoln Hotel
69,Butaritari,KI,82.6,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
73,Hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
80,Hilo,US,75.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
82,Arraial Do Cabo,BR,75.79,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Caravelas,BR,76.68,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
87,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
89,Mahibadhoo,MV,80.98,broken clouds,3.7833,72.9667,Omadhoo Inn
93,Wajir,KE,75.34,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
98,Lakatoro,VU,84.02,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
99,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Bengkulu,ID,79.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Isangel,VU,82.51,drizzle,-19.55,169.2667,Tanna Lodge
130,Matara,LK,77.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Nosy Varika,MG,75.11,overcast clouds,-20.5833,48.5333,Hotel Volazara
141,Vaitape,PF,81.25,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
142,Dingle,PH,82.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
145,Mount Gambier,AU,85.91,clear sky,-37.8333,140.7667,The Commodore
148,New Norfolk,AU,77.67,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
149,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
