City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2022-02-07 01:52:04,-33.65,115.3333,66.04,56,65,20.0,broken clouds
1,Yellowknife,CA,2022-02-07 01:51:03,62.456,-114.3525,-0.58,97,75,4.61,light snow
2,Mataura,NZ,2022-02-07 01:50:22,-46.1927,168.8643,60.48,34,11,1.43,few clouds
3,Rikitea,PF,2022-02-07 01:52:06,-23.1203,-134.9692,79.0,71,24,19.19,few clouds
4,Tasiilaq,GL,2022-02-07 01:52:06,65.6145,-37.6368,17.49,54,100,56.8,light snow
5,Punta Arenas,CL,2022-02-07 01:52:06,-53.15,-70.9167,51.91,87,75,6.91,broken clouds
6,Mareeba,AU,2022-02-07 01:52:07,-17.0,145.4333,83.44,69,52,4.63,broken clouds
7,Opuwo,NA,2022-02-07 01:52:07,-18.0607,13.84,67.19,48,98,2.26,overcast clouds
8,Kapaa,US,2022-02-07 01:47:19,22.0752,-159.319,79.2,70,20,4.0,few clouds
9,Vega De Alatorre,MX,2022-02-07 01:52:08,20.0333,-96.6333,61.45,81,6,3.24,clear sky
10,Alice Springs,AU,2022-02-07 01:51:45,-23.7,133.8833,83.75,28,0,3.44,clear sky
11,Port-Gentil,GA,2022-02-07 01:52:09,-0.7193,8.7815,79.72,84,25,10.76,scattered clouds
12,Bluff,NZ,2022-02-07 01:52:09,-46.6,168.3333,60.8,64,0,12.01,clear sky
13,Albany,US,2022-02-07 01:52:10,42.6001,-73.9662,20.3,80,10,2.93,clear sky
14,Airai,TL,2022-02-07 01:48:55,-8.9266,125.4092,74.35,62,5,2.06,clear sky
15,Castro,BR,2022-02-07 01:52:11,-24.7911,-50.0119,63.09,80,4,2.48,clear sky
16,Barao De Melgaco,BR,2022-02-07 01:52:11,-16.1944,-55.9675,77.52,93,100,2.53,overcast clouds
17,Port Shepstone,ZA,2022-02-07 01:52:11,-30.7414,30.455,70.12,86,0,9.78,clear sky
